target,group,model,nominal_coverage,empirical_coverage,mean_interval_width,calibration_n,test_n,absolute_error_quantile
CN(Out),auxiliary,HGB,0.9,0.9324009324009324,0.0730316218612765,369,429,0.03651581093063824
COD(Out),core,HGB,0.9,0.9790209790209791,15.072636852097448,369,429,7.536318426048723
NH3-N(Out),core,RF,0.9,0.9976689976689976,0.9601699577506845,369,429,0.4800849788753422
SF(Out),auxiliary,HGB,0.9,0.9393939393939394,0.019708047437917903,369,429,0.009854023718958951
TN(Out),core,HGB,0.9,0.9696969696969697,4.353770145731076,369,429,2.176885072865538
TPH(Out),auxiliary,RF,0.9,0.986013986013986,0.26838304464536034,369,429,0.13419152232268017
TSS(Out),core,HGB,0.9,0.9207459207459208,9.46754789862166,369,429,4.733773949310829
VP(Out),auxiliary,HGB,0.9,0.9533799533799534,0.2530949660040072,369,429,0.12654748300200358
pH(Out),auxiliary,HGB,0.9,0.958041958041958,0.31121061471968753,369,429,0.1556053073598438
