target,n_model_rows,mean_baseline_r2,persistence_r2,influent_only_r2,influent_plus_lagged_effluent_r2,walk_forward_mean_baseline_r2,walk_forward_persistence_r2,walk_forward_influent_only_r2,walk_forward_influent_plus_lagged_effluent_r2,influent_only_best_model,walk_forward_influent_only_best_model,augmented_best_model,walk_forward_augmented_best_model,random_cv_r2,walk_forward_r2,effluent_cv_pct,plant
COD,1681,-0.002,0.238,0.481,0.612,-0.121,-0.105,0.139,0.252,HGB,RF,HGB,RF,0.481,0.139,17.8,Plant 1
NH3-N,1681,-0.002,0.085,0.382,0.462,-0.114,-0.197,-0.005,0.205,HGB,RF,HGB,RF,0.382,-0.005,33.9,Plant 1
TN,1681,-0.006,0.073,0.372,0.466,-0.164,-0.237,0.148,0.206,HGB,RF,HGB,RF,0.372,0.148,20.6,Plant 1
TSS,1681,-0.004,-0.175,0.351,0.382,-0.057,-0.531,0.112,0.091,HGB,RF,HGB,RF,0.351,0.112,56.2,Plant 1
COD,1030,-0.001,-0.94,0.083,0.075,-0.019,-1.021,-0.017,-0.009,RF,RF,RF,RF,0.083,-0.017,98.2,Plant 2
NH3-N,1030,-0.004,-1.096,-0.002,-0.002,-0.009,-1.032,-0.036,-0.039,Ridge,Ridge,Ridge,Ridge,-0.002,-0.036,94.2,Plant 2
TN,1030,-0.015,-1.416,0.071,0.073,-0.007,-0.929,0.06,0.095,RF,RF,RF,RF,0.071,0.06,79.9,Plant 2
TP,1030,-0.017,-1.429,0.184,0.127,-0.178,-0.936,-0.018,0.028,RF,RF,RF,RF,0.184,-0.018,81.9,Plant 2
TSS,1030,-0.002,-1.091,0.022,0.037,-0.004,-0.899,0.029,0.04,RF,RF,RF,RF,0.022,0.029,97.5,Plant 2
COD,1109,-0.022,-1.259,0.02,0.035,-0.007,-0.919,0.013,0.018,RF,RF,RF,RF,0.02,0.013,99.8,Plant 3
NH3-N,1109,-0.003,-1.048,0.048,0.053,-0.033,-0.959,0.03,0.022,RF,RF,RF,RF,0.048,0.03,96.7,Plant 3
TN,1109,-0.001,-1.024,0.039,0.037,-0.1,-1.023,-0.056,-0.054,RF,RF,RF,RF,0.039,-0.056,72.3,Plant 3
TP,1109,-0.0,-0.943,0.035,0.038,-0.012,-0.876,0.021,0.024,RF,RF,RF,RF,0.035,0.021,99.0,Plant 3
TSS,1109,-0.003,-0.998,0.105,0.101,-0.02,-0.96,0.087,0.087,RF,RF,RF,RF,0.105,0.087,97.2,Plant 3
COD,482,-0.044,-1.248,-0.066,-0.069,-0.018,-0.969,0.002,-0.006,RF,RF,RF,RF,-0.066,0.002,103.9,Plant 4
NH3-N,482,-0.012,-1.431,-0.013,-0.023,-0.028,-1.243,-0.062,-0.123,Ridge,Ridge,RF,Ridge,-0.013,-0.062,105.0,Plant 4
TN,482,-0.088,-1.475,-0.294,-0.28,-0.142,-0.96,-0.247,-0.267,RF,RF,RF,RF,-0.294,-0.247,99.7,Plant 4
TP,482,-0.07,-2.448,-0.084,-0.093,-0.046,-1.465,-0.063,-0.054,RF,RF,RF,RF,-0.084,-0.063,102.8,Plant 4
TSS,482,-0.017,-1.387,-0.034,-0.031,-0.033,-0.969,0.003,0.001,RF,RF,RF,RF,-0.034,0.003,100.7,Plant 4
COD,1080,-0.003,-0.94,0.061,0.072,-0.004,-0.935,0.04,0.038,RF,RF,RF,RF,0.061,0.04,104.0,Plant 5
NH3-N,1080,-0.003,-1.044,0.003,-0.002,-0.009,-1.005,0.033,0.031,RF,RF,RF,RF,0.003,0.033,91.2,Plant 5
TN,1080,-0.004,-0.999,0.076,0.076,-0.011,-0.875,0.056,0.055,RF,RF,RF,RF,0.076,0.056,86.2,Plant 5
TP,1080,-0.0,-0.868,0.156,0.155,-0.008,-0.992,0.102,0.099,RF,RF,RF,RF,0.156,0.102,86.8,Plant 5
TSS,1080,-0.006,-0.974,0.158,0.157,-0.014,-0.891,0.173,0.172,RF,RF,RF,RF,0.158,0.173,96.3,Plant 5
COD,618,-0.018,-1.351,0.063,0.066,-0.1,-1.05,-0.009,-0.003,RF,RF,RF,RF,0.063,-0.009,98.9,Plant 6
NH3-N,618,-0.004,-0.983,0.064,0.059,-0.025,-0.988,-0.002,-0.004,RF,RF,RF,RF,0.064,-0.002,93.7,Plant 6
TN,618,-0.028,-1.679,0.288,0.288,-0.029,-1.077,0.097,0.094,RF,RF,RF,RF,0.288,0.097,79.5,Plant 6
TP,618,-0.002,-0.987,0.019,0.02,-0.018,-1.023,0.043,0.041,RF,RF,RF,RF,0.019,0.043,89.6,Plant 6
TSS,618,-0.004,-0.95,0.095,0.093,-0.024,-0.936,0.04,0.034,RF,RF,RF,RF,0.095,0.04,98.2,Plant 6
