idx,doi,year,sub_field,control_loop_type,scale,title,verified,verified_deployed,reviewer_note
1,10.1002/wer.11139,2024,DBP,advisory,full_scale,Enhancing efficiency and quality control: The impact of Digital Twins in drinking water networks,TRUE,TRUE,Digital twin prototypes were implemented on an Azure/Dinapsis operational platform with operator alarms and decision support; full-scale advisory evidence.
2,10.1007/s13201-018-0821-8,2018,membrane,advisory,pilot,Design and development of reverse osmosis (RO) plant status monitoring system for early fault prediction and predictive maintenance,TRUE,TRUE,"RO status monitoring system was installed in village RO plants for real-time monitoring, early fault prediction and predictive maintenance; pilot/advisory."
3,10.1007/s40747-020-00259-9,2021,monitoring,advisory,mixed,Machine learning based soft sensor model for BOD estimation using intelligence at edge,TRUE,TRUE,Edge BOD soft-sensor setup was deployed at an STP outlet and evaluated with 100 real-time BOD readings; advisory monitoring.
4,10.1016/j.dwt.2025.101386,2025,membrane,closed_loop,full_scale,An insight into real-time monitoring and predictive modelling of ultrafiltration pretreatment for flow rate and fouling mitigation in seawater desalination,TRUE,TRUE,"Real-plant real-time framework adjusted backwash, TMP and flow decisions for UF pretreatment; deployment evidence supports control use."
5,10.1016/j.mlwa.2023.100475,2023,coagulation,advisory,full_scale,Intelligent framework for coagulant dosing optimization in an industrial-scale seawater reverse osmosis desalination plant,TRUE,FALSE,"No local full text available; evidence only identifies a candidate industrial-scale dosing optimization study, not confirmed plant deployment."
6,10.1016/j.rineng.2025.106879,2025,control,closed_loop,full_scale,"Optimization of denitrification carbon source, nitrification aeration and coagulants dosing with artificial intelligence in full-scale municipal wastewater treatment",TRUE,FALSE,No local full text available; plant deployment or real-time control could not be verified from available evidence.
7,10.1021/acs.est.4c12835,2025,membrane,advisory,full_scale,Predicting Membrane Fouling of Submerged Membrane Bioreactor Wastewater Treatment Plants Using Machine Learning,TRUE,TRUE,MBR-Net web interface was integrated with a WWTP IoT platform for real-time fouling prediction and operator decision support; advisory.
8,10.1021/acsestengg.5c00493,2025,control,closed_loop,full_scale,Machine Learning-Assisted Expert Control in Wastewater Aeration Treatment Process Application,TRUE,TRUE,Full-scale WWTP aeration control was validated on SCADA data with no-manual-intervention periods over 58 days and six-month operation; closed-loop.
9,10.1061/joeedu.eeeng-7969,2025,coagulation,advisory,full_scale,Enhancing Coagulation Prediction in Water Treatment Using a Similarity Score–Based Piecewise Machine Learning Model,TRUE,FALSE,"No local full text; ASCE evidence unavailable, so the LLM deployment label was not verified."
10,10.1155/2019/9643921,2019,monitoring,advisory,full_scale,Outlier Detection and Correction for Monitoring Data of Water Quality Based on Improved VMD and LSSVM,TRUE,TRUE,Software platform was applied to Zhejiang water-quality monitoring stations for monitoring-data outlier detection and correction; advisory monitoring.
11,10.12913/22998624/192936,2024,sludge,advisory,full_scale,Machine Learning-Based Prediction of Biogas Production from Sludge Characteristics in Four Anaerobic Digesters: Development of the AD2Biogas Prediction Tool,TRUE,TRUE,AD2Biogas Predictor Tool was implemented at the studied WWTP for biogas prediction from sludge characteristics; advisory.
12,10.2166/aqua.2023.062,2023,monitoring,advisory,mixed,Design and application of soft sensors in rural sewage treatment facilities,TRUE,TRUE,Soft sensors were applied at three Changzhou rural sewage treatment facilities for real-time monitoring; advisory.
13,10.2166/wst.2020.382,2020,control,closed_loop,pilot,Performance improvement of wastewater treatment processes by application of machine learning,TRUE,FALSE,No local full text; available evidence does not verify an implemented online or real-time plant system.
14,10.26483/ijarcs.v16i3.7257,2025,monitoring,advisory,full_scale,DATA-CENTERED DEVELOPMENT AND PREDICTIVE EVALUATION OF A SUPERVISED MACHINE LEARNING SYSTEM FOR WATER QUALITY ANOMALY DETECTION IN A LAGUNA WATER DISTRICT,TRUE,FALSE,No local full text; deployment or operational use cannot be confirmed beyond candidate title/metadata.
15,10.3390/app15168990,2025,control,advisory,full_scale,Development and Optimization of an Automated Industrial Wastewater Treatment System Using PLC and LSTM Neural Network,TRUE,TRUE,"Industrial PLC automation system was used for wastewater treatment; LSTM forecasts supported reagent and aeration optimization, not direct ML actuation."
16,10.3390/e27121233,2025,sludge,advisory,full_scale,"Prediction, Uncertainty Quantification, and ANN-Assisted Operation of Anaerobic Digestion Guided by Entropy Using Machine Learning",TRUE,TRUE,"ANN predictions and uncertainty were displayed in SCADA; operator adjusted AD cycle from 30 to 90 min, with no direct actuation; advisory."
17,10.3390/pr13010280,2025,coagulation,closed_loop,full_scale,Agent Addition to Coal Slurry Water Using Data-Driven Intelligent Control,TRUE,TRUE,iFix plus PLC intelligent control automatically adjusted the dosing pump and was applied in the Ningxia plant since Dec 2023; closed-loop.
